location,latitude,longitude,rainfall,prev_rainfall
Alluri Sitharama Raju - Forest,18.74600201828074,84.24159286676792,0.0,0.0
Alluri Sitharama Raju - Forest,18.74647380675298,84.10272703375534,0.0,0.0
Alluri Sitharama Raju - Forest,18.70775953763841,84.13545104078426,0.0,0.0
Alluri Sitharama Raju - Forest,18.703912078286933,84.10535160260547,0.0,0.0
Alluri Sitharama Raju - Forest,18.706138314570488,83.93775700370928,0.0,0.0
Alluri Sitharama Raju - Forest,18.671501409184287,83.9975404314357,0.0,0.0
Alluri Sitharama Raju - Forest,18.68151266228948,84.05438590671514,0.0,0.0
Alluri Sitharama Raju - Forest,18.621020920473043,84.01617002049129,0.0,0.0
Alluri Sitharama Raju - Forest,18.60178254375932,83.81043119333107,0.0,0.0
Alluri Sitharama Raju - Forest,18.59655998112384,84.10436299403185,0.0,0.0
Alluri Sitharama Raju - Forest,18.60067925489064,84.01232334037591,0.0,0.0
Alluri Sitharama Raju - Forest,18.603036124735223,84.06924634198198,0.0,0.0
Alluri Sitharama Raju - Forest,18.574912650664707,83.9168476708829,0.0,0.0
Alluri Sitharama Raju - Forest,18.53324531988593,83.87595846232016,0.0,0.0
Alluri Sitharama Raju - Forest,19.004531659460845,83.59372659727676,0.0,0.0
Alluri Sitharama Raju - Forest,18.88008846944389,83.69564695942394,0.0,0.0
Alluri Sitharama Raju - Forest,18.949917443914583,83.40003876615079,0.0,0.0
Alluri Sitharama Raju - Forest,18.822250170251884,83.65268631036253,0.0,0.0
Alluri Sitharama Raju - Forest,18.80314392420809,83.33053222316899,0.0,0.0
Alluri Sitharama Raju - Forest,18.678656305450964,83.13899342896046,0.0,0.0
Alluri Sitharama Raju - Forest,18.69082001948188,83.36352602729775,0.0,0.0
Alluri Sitharama Raju - Forest,18.600895708659746,83.29904839220364,0.0,0.0
Alluri Sitharama Raju - Forest,18.61836606195516,83.25161203048424,0.0,0.0
Alluri Sitharama Raju - Forest,18.47579099338921,83.0607996570303,0.0,0.0
Alluri Sitharama Raju - Forest,18.460848038917483,83.22433345100389,0.0,0.0
Alluri Sitharama Raju - Forest,18.448321902235985,83.42342764341636,0.0,0.0
Alluri Sitharama Raju - Forest,18.39180581831618,83.1297126531155,0.0,0.0
Alluri Sitharama Raju - Forest,18.42391726951953,83.23370249530812,0.0,0.0
Alluri Sitharama Raju - Forest,18.17947426128891,83.23106854366817,0.0,0.0
Alluri Sitharama Raju - Forest,18.12241259650268,83.45288976105246,0.0,0.0
Alluri Sitharama Raju - Forest,18.04554312862455,83.05178255046734,0.0,0.0
Alluri Sitharama Raju - Forest,12.663595204922782,78.33317984218392,0.0,0.0
Alluri Sitharama Raju - Forest,17.977148067938927,82.5430438471169,0.0,0.0
Alluri Sitharama Raju - Forest,17.34916912584253,81.54490050488849,0.0,0.0
Alluri Sitharama Raju - Forest,17.305495714047677,81.41580468881584,0.0,0.0
Alluri Sitharama Raju - Forest,17.263691404160056,81.23165182508608,0.0,0.0
Alluri Sitharama Raju - Forest,17.199970391454055,81.09679516365908,0.0,0.0
Alluri Sitharama Raju - Forest,17.15720995153419,81.05575708775288,0.0,0.0
Alluri Sitharama Raju - Forest,17.17497441336635,81.14194114657585,0.0,0.0
Alluri Sitharama Raju - Forest,17.15687935460797,80.93842591284785,0.0,0.0
Alluri Sitharama Raju - Forest,17.063705490135487,81.04875017614894,0.0,0.0
Alluri Sitharama Raju - Forest,17.036853576227056,80.97780125894441,0.0,0.0
Alluri Sitharama Raju - Forest,16.984709397810217,80.9906053786984,0.0,0.0
Alluri Sitharama Raju - Forest,16.946941685465664,81.17298809744335,0.0,0.0
Alluri Sitharama Raju - Forest,16.647839113875765,81.2079902088899,0.0,0.0
Alluri Sitharama Raju - Forest,16.612565277218945,81.11711939219506,0.0,0.0
Alluri Sitharama Raju - Forest,16.4337342438068,81.45052323729274,0.0,0.0
Alluri Sitharama Raju - Forest,16.423473505439787,81.54801025985749,0.0,0.0
Alluri Sitharama Raju - Forest,13.966712071968676,78.56375117311507,0.0,0.0
Alluri Sitharama Raju - Forest,13.9114329303871,78.57663545790845,0.0,0.0
Alluri Sitharama Raju - Forest,13.889736996654312,78.36386440830859,0.0,0.0
Alluri Sitharama Raju - Forest,13.901093457619428,78.60456339155878,0.0,0.0
Alluri Sitharama Raju - Forest,13.84837968052136,78.4737312685091,0.0,0.0
Alluri Sitharama Raju - Forest,13.880670720428336,79.48207142385148,0.0,0.0
Alluri Sitharama Raju - Forest,13.860230200064976,79.06046400045544,0.0,0.0
Alluri Sitharama Raju - Forest,13.859723151653563,78.6999418149999,0.0,0.0
Alluri Sitharama Raju - Forest,13.864177901471129,78.60854250014512,0.0,0.0
Alluri Sitharama Raju - Forest,13.793835553717756,78.97067671502603,0.0,0.0
Alluri Sitharama Raju - Forest,13.866446397228708,78.57388309620104,0.0,0.0
Alluri Sitharama Raju - Forest,13.741921994654328,79.1853965887407,0.0,0.0
Alluri Sitharama Raju - Forest,13.784650661168152,79.5072919419201,0.0,0.0
Alluri Sitharama Raju - Forest,13.812262916146809,78.58553264145458,0.0,0.0
Alluri Sitharama Raju - Forest,13.808878740964015,78.54830637226478,0.0,0.0
Alluri Sitharama Raju - Forest,13.792989174813275,78.30477476040892,0.0,0.0
Alluri Sitharama Raju - Forest,13.798856879933952,78.38538254254581,0.0,0.0
Alluri Sitharama Raju - Forest,13.728068968802948,79.48660193079844,0.0,0.0
Alluri Sitharama Raju - Forest,13.76271919758504,78.87485178929573,0.0,0.0
Alluri Sitharama Raju - Forest,13.739122970738388,79.57121249999136,0.0,0.0
Alluri Sitharama Raju - Forest,13.759588008175736,78.75212855797764,0.0,0.0
Alluri Sitharama Raju - Forest,13.73794103350407,78.68502302564733,0.0,0.0
Alluri Sitharama Raju - Forest,13.696398262929335,79.35850967894216,0.0,0.0
Alluri Sitharama Raju - Forest,13.600033418747747,79.21649688373148,0.0,0.0
